
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
   224   -0.0001   0.0004   0.0006   -0.0010   -0.0007   0.07375931
   225   -0.0001   -0.0000   0.0008   -0.0003   -0.0010   0.07375953
   226   -0.0001   -0.0003   0.0006   0.0005   -0.0010   0.07375975
   227   -0.0001   -0.0005   0.0002   0.0009   -0.0006   0.07375998
   228   -0.0001   -0.0004   -0.0002   0.0008   -0.0002   0.07376020
   229   -0.0001   -0.0001   -0.0005   0.0004   0.0002   0.07376042
   230   -0.0001   0.0001   -0.0005   -0.0001   0.0003   0.07376065
   231   -0.0001   0.0003   -0.0003   -0.0005   0.0001   0.07376087
   232   -0.0001   0.0003   0.0000   -0.0006   -0.0002   0.07376109
   233   -0.0001   0.0002   0.0003   -0.0005   -0.0005   0.07376132
   234   -0.0001   0.0000   0.0004   -0.0002   -0.0006   0.07376154
   235   -0.0001   -0.0001   0.0003   0.0002   -0.0006   0.07376176
   236   -0.0001   -0.0002   0.0001   0.0004   -0.0005   0.07376199
   237   -0.0001   -0.0002   -0.0001   0.0004   -0.0003   0.07376221
   238   -0.0001   -0.0001   -0.0002   0.0002   -0.0001   0.07376243
   239   -0.0001   0.0000   -0.0002   -0.0000   -0.0001   0.07376266
   240   -0.0001   0.0001   -0.0001   -0.0002   -0.0001   0.07376288
   241   -0.0001   0.0001   -0.0000   -0.0003   -0.0002   0.07376310
   242   -0.0001   0.0001   0.0001   -0.0002   -0.0004   0.07376333
   243   -0.0001   0.0000   0.0002   -0.0001   -0.0005   0.07376355
   244   -0.0001   -0.0001   0.0001   0.0001   -0.0005   0.07376377
   245   -0.0001   -0.0001   0.0001   0.0002   -0.0004   0.07376400
   246   -0.0001   -0.0001   -0.0000   0.0002   -0.0003   0.07376422
   247   -0.0001   -0.0000   -0.0001   0.0001   -0.0003   0.07376444
   248   -0.0001   0.0000   -0.0001   -0.0000   -0.0002   0.07376467
   249   -0.0001   0.0001   -0.0001   -0.0001   -0.0003   0.07376489
   250   -0.0001   0.0001   -0.0000   -0.0001   -0.0003   0.07376511
   251   -0.0001   0.0000   0.0000   -0.0001   -0.0004   0.07376534
   252   -0.0001   0.0000   0.0001   -0.0001   -0.0004   0.07376556
   253   -0.0001   -0.0000   0.0001   0.0000   -0.0004   0.07376578
   254   -0.0001   -0.0000   0.0000   0.0001   -0.0004   0.07376601
   255   -0.0001   -0.0000   -0.0000   0.0001   -0.0004   0.07376623
   256   -0.0001   -0.0000   -0.0000   0.0000   -0.0004   0.07376645
   257   -0.0001   0.0000   -0.0000   -0.0000   -0.0004   0.07376668
   258   -0.0001   0.0000   -0.0000   -0.0000   -0.0004   0.07376690
   259   -0.0001   0.0000   -0.0000   -0.0001   -0.0004   0.07376712
   260   -0.0001   0.0000   0.0000   -0.0001   -0.0004   0.07376735
   261   -0.0001   0.0000   0.0000   -0.0000   -0.0005   0.07376757
   262   -0.0001   -0.0000   0.0000   -0.0000   -0.0005   0.07376779
   263   -0.0001   -0.0000   0.0000   0.0000   -0.0005   0.07376802
   264   -0.0001   -0.0000   -0.0000   0.0000   -0.0005   0.07376824
   265   -0.0001   -0.0000   -0.0000   0.0000   -0.0004   0.07376846
   266   -0.0001   0.0000   -0.0000   -0.0000   -0.0004   0.07376869
   267   -0.0001   0.0000   -0.0000   -0.0000   -0.0005   0.07376891
   268   -0.0001   0.0000   -0.0000   -0.0000   -0.0005   0.07376913
   269   -0.0001   0.0000   0.0000   -0.0000   -0.0005   0.07376936
   270   -0.0001   0.0000   0.0000   -0.0000   -0.0005   0.07376958
   271   -0.0001   -0.0000   0.0000   -0.0000   -0.0005   0.07376980
   272   -0.0001   -0.0000   0.0000   -0.0000   -0.0005   0.07377003
   273   -0.0001   -0.0000   -0.0000   0.0000   -0.0005   0.07377025
   274   -0.0002   -0.0000   -0.0000   -0.0000   -0.0005   0.07377047
   275   -0.0002   -0.0000   -0.0000   -0.0000   -0.0005   0.07377069
   276   -0.0002   0.0000   -0.0000   -0.0000   -0.0005   0.07377091
   277   -0.0002   0.0000   -0.0000   -0.0000   -0.0005   0.07377113
   278   -0.0002   0.0000   0.0000   -0.0000   -0.0006   0.07377135
   279   -0.0002   0.0000   0.0000   -0.0000   -0.0006   0.07377157
   280   -0.0002   -0.0000   0.0000   -0.0000   -0.0006   0.07377179
   281   -0.0002   -0.0000   0.0000   -0.0000   -0.0006   0.07377201
   282   -0.0002   -0.0000   0.0000   -0.0000   -0.0006   0.07377223
   283   -0.0002   -0.0000   -0.0000   -0.0000   -0.0006   0.07377246
   284   -0.0002   -0.0000   -0.0000   -0.0000   -0.0006   0.07377266
   285   -0.0002   0.0000   -0.0000   -0.0000   -0.0006   0.07377287
   286   -0.0002   0.0000   -0.0000   -0.0000   -0.0006   0.07377307
   287   -0.0002   0.0000   0.0000   -0.0000   -0.0006   0.07377327
   288   -0.0002   0.0000   0.0000   -0.0000   -0.0007   0.07377348
   289   -0.0002   -0.0000   0.0000   -0.0000   -0.0007   0.07377368
   290   -0.0002   -0.0000   0.0000   -0.0000   -0.0007   0.07377389
   291   -0.0002   -0.0000   -0.0000   -0.0000   -0.0007   0.07377409
   292   -0.0002   -0.0000   -0.0000   -0.0000   -0.0007   0.07377429
   293   -0.0002   0.0000   -0.0000   -0.0000   -0.0007   0.07377449
   294   -0.0002   0.0000   -0.0000   -0.0000   -0.0007   0.07377469
   295   -0.0002   0.0000   -0.0000   -0.0000   -0.0007   0.07377489
   296   -0.0002   0.0000   0.0000   -0.0000   -0.0007   0.07377509
   297   -0.0002   0.0000   0.0000   -0.0000   -0.0007   0.07377529
   298   -0.0002   0.0000   0.0000   -0.0000   -0.0008   0.07377550
   299   -0.0002   -0.0000   0.0000   -0.0000   -0.0008   0.07377570
   300   -0.0002   -0.0000   0.0000   -0.0000   -0.0008   0.07377590
   301   -0.0002   -0.0000   -0.0000   -0.0000   -0.0008   0.07377610
   302   -0.0002   0.0000   -0.0000   -0.0000   -0.0008   0.07377630
   303   -0.0002   0.0000   -0.0000   -0.0000   -0.0008   0.07377650
   304   -0.0002   0.0000   -0.0000   -0.0000   -0.0008   0.07377670
   305   -0.0002   0.0000   0.0000   -0.0000   -0.0008   0.07377690
   306   -0.0002   0.0000   0.0000   -0.0000   -0.0008   0.07377710
   307   -0.0002   -0.0000   -0.0000   -0.0000   -0.0009   0.07377732
   308   -0.0002   -0.0000   -0.0000   -0.0000   -0.0009   0.07377755
   309   -0.0002   0.0000   -0.0000   -0.0000   -0.0009   0.07377778
   310   -0.0003   0.0000   -0.0000   -0.0000   -0.0009   0.07377801
   311   -0.0003   0.0000   -0.0000   -0.0000   -0.0009   0.07377824
   312   -0.0003   0.0000   0.0000   -0.0000   -0.0009   0.07377848
   313   -0.0003   0.0000   -0.0000   -0.0000   -0.0009   0.07377871
   314   -0.0003   0.0000   -0.0000   -0.0000   -0.0009   0.07377875
   315   -0.0003   0.0000   -0.0000   -0.0000   -0.0010   0.07377879
   316   -0.0003   0.0000   -0.0000   -0.0000   -0.0010   0.07377882
   317   -0.0003   0.0000   -0.0000   -0.0000   -0.0010   0.07377886
   318   -0.0003   0.0000   -0.0000   -0.0000   -0.0010   0.07377890
   319   -0.0003   0.0000   -0.0000   -0.0000   -0.0010   0.07377893
   320   -0.0003   0.0000   0.0000   -0.0000   -0.0010   0.07377897
   321   -0.0003   0.0000   0.0000   -0.0000   -0.0010   0.07377901
   322   -0.0003   0.0000   0.0000   -0.0000   -0.0011   0.07377904
   323   -0.0003   -0.0000   0.0000   -0.0000   -0.0011   0.07377908
   324   -0.0003   -0.0000   -0.0000   -0.0000   -0.0011   0.07377912
   325   -0.0003   0.0000   -0.0000   -0.0000   -0.0011   0.07377947
   326   -0.0003   0.0000   -0.0000   -0.0000   -0.0011   0.07377982
   327   -0.0003   0.0000   -0.0000   -0.0000   -0.0011   0.07378016
   328   -0.0003   0.0000   0.0000   -0.0000   -0.0011   0.07378049
   329   -0.0003   0.0000   0.0000   -0.0000   -0.0012   0.07378081
   330   -0.0003   -0.0000   0.0000   -0.0000   -0.0012   0.07378111
   331   -0.0003   -0.0000   -0.0000   -0.0000   -0.0012   0.07378139
   332   -0.0003   0.0000   -0.0000   -0.0000   -0.0012   0.07378165
   333   -0.0003   0.0000   -0.0000   -0.0000   -0.0012   0.07378189
   334   -0.0004   -0.0000   -0.0000   -0.0000   -0.0012   0.07378193
   335   -0.0004   0.0000   -0.0000   -0.0000   -0.0013   0.07378198
   336   -0.0004   -0.0000   -0.0000   -0.0000   -0.0013   0.07378222
   337   -0.0004   -0.0000   -0.0000   -0.0001   -0.0013   0.07378246
   338   -0.0004   -0.0000   -0.0000   -0.0001   -0.0013   0.07378269
   339   -0.0004   -0.0000   -0.0000   -0.0001   -0.0014   0.07378306
   340   -0.0004   0.0000   -0.0000   -0.0001   -0.0014   0.07378341
   341   -0.0004   0.0000   -0.0000   -0.0001   -0.0015   0.07378372
   342   -0.0004   0.0000   0.0000   -0.0001   -0.0015   0.07378379
   343   -0.0004   0.0000   0.0000   -0.0001   -0.0016   0.07378386
   344   -0.0005   0.0000   0.0000   -0.0001   -0.0016   0.07378390
   345   -0.0005   0.0000   0.0000   -0.0001   -0.0017   0.07378416
   346   -0.0005   -0.0000   0.0000   -0.0000   -0.0017   0.07378428
   347   -0.0005   -0.0000   0.0000   -0.0000   -0.0017   0.07378451
   348   -0.0004   0.0000   0.0000   -0.0000   -0.0017   0.07378490
   349   -0.0003   0.0001   0.0001   0.0000   -0.0017   0.07378499
   350   -0.0002   0.0002   0.0002   0.0002   -0.0017   0.07378521
   351   -0.0002   0.0002   0.0005   0.0005   -0.0015   0.07378540
   352   -0.0001   -0.0002   0.0005   0.0010   -0.0011   0.07378559
   353   -0.0000   -0.0004   0.0002   0.0014   -0.0005   0.07378585
   354   -0.0000   -0.0005   -0.0003   0.0014   0.0002   0.07378604
   355   0.0000   -0.0003   -0.0007   0.0009   0.0008   0.07378623
   356   0.0000   0.0000   -0.0008   0.0001   0.0010   0.07378642
   357   0.0001   0.0003   -0.0006   -0.0006   0.0009   0.07378661
   358   0.0001   0.0005   -0.0002   -0.0010   0.0005   0.07378681
   359   0.0000   0.0004   0.0003   -0.0009   -0.0000   0.07378700
   360   0.0000   0.0001   0.0006   -0.0005   -0.0004   0.07378722
   361   0.0000   -0.0001   0.0006   0.0001   -0.0005   0.07378739
   362   0.0000   -0.0003   0.0003   0.0005   -0.0003   0.07378752
   363   0.0000   -0.0003   -0.0000   0.0007   0.0000   0.07378771
   364   0.0000   -0.0002   -0.0003   0.0005   0.0003   0.07378799
   365   0.0000   -0.0000   -0.0004   0.0002   0.0005   0.07378839
   366   0.0000   0.0002   -0.0003   -0.0002   0.0005   0.07378844
   367   0.0001   0.0002   -0.0001   -0.0004   0.0003   0.07378850
   368   0.0001   0.0002   0.0001   -0.0004   0.0001   0.07378855
   369   0.0001   0.0001   0.0003   -0.0002   -0.0000   0.07378861
   370   0.0001   -0.0001   0.0003   0.0001   -0.0001   0.07378866
   371   0.0001   -0.0001   0.0001   0.0003   0.0000   0.07378872
   372   0.0001   -0.0001   -0.0000   0.0003   0.0002   0.07378877
   373   0.0001   -0.0001   -0.0001   0.0003   0.0003   0.07378882
   374   0.0001   0.0000   -0.0002   0.0001   0.0004   0.07378886
   375   0.0001   0.0001   -0.0001   -0.0001   0.0004   0.07378927
   376   0.0001   0.0001   -0.0000   -0.0001   0.0004   0.07378932
   377   0.0001   0.0001   0.0001   -0.0001   0.0003   0.07378937
   378   0.0001   0.0000   0.0001   -0.0000   0.0003   0.07378978
   379   0.0001   -0.0000   0.0001   0.0001   0.0003   0.07379020
